x,y,waga
254190.5898909787,363247.24297647923,1.0
270004.1124466257,361208.283232376,1.0
277913.59060028696,360193.2423190661,1.0
289795.21513959777,358693.05467449967,2.0
293748.09600646875,358199.4666488869,0.65
416357.38235504436,342801.10490179993,1.0
751270.8956004308,300649.5066286577,1.0
250723.21571376664,367702.36303506326,0.8875
266558.61207568593,365678.47710653767,5.0
282374.1195370563,363649.21866584383,1.0
432660.84111633454,344731.7752945572,1.0
456339.1621116891,341795.9570559086,0.07
625876.8472770099,320458.58246491104,1.0
791053.290514247,299645.3293917747,1.0
523900.81090973597,337261.7867310019,0.09
767951.0502152289,306584.1968844868,0.2425
239816.00131431167,377106.63783996925,0.45
634754.7454988678,327360.96970737353,0.8175
721319.6833113849,316398.45264551137,1.0
264087.8306547612,378069.2743389318,1.0
580122.0916886368,338228.4402367845,1.0
713950.4689856236,321330.5755356699,0.5125
236854.8826574069,385537.4656397328,1.0
339806.6005021461,372557.4349373393,1.7574999999999998
525411.1846228557,349108.9772516256,0.6475
781236.165562018,316891.082715936,1.0
229449.10114570532,390534.60851533245,1.0
269037.72488794534,385472.1680872338,1.0
506199.19990616455,355581.44674842805,1.0
313075.2580099724,383950.8691168502,0.305
320994.81012365164,382944.0631739693,1.0
270040.4874749362,393389.322487317,1.0
341293.7879974796,384444.0757166203,0.595
487451.62978904153,365904.28868503403,0.165
226935.9258767998,402912.6862264816,0.91
325958.29917208815,390368.0394890448,1.8675000000000002
341782.68259342853,388406.50295069534,0.82
345735.09919879795,387896.16140279453,1.0
460340.8817585724,373393.547413595,0.385
551052.3877961106,361896.4695295319,0.6825
227426.96110652818,406870.22299929895,1.0
397642.1030323533,385341.22536989395,1.0
346730.4103990303,395793.45633980446,0.155
409987.0465897457,387777.71321479883,0.5775
630870.7778291078,359796.26776861586,1.0
268094.0964087756,409737.2744257385,1.0
595918.5080827685,368257.1065650275,1.0
607721.5950070842,366739.46917999163,1.0
627447.2993571121,364215.11603555735,1.0
658893.824226612,360305.9537861552,0.4725
264644.32898723753,414211.98277945165,0.3275
265140.5646123657,418170.6497914698,1.0
616613.4204612821,373634.42731931433,1.0
281457.5348098794,420084.10377794784,1.0
328954.8424630765,414136.8517213343,0.8225
502799.4766062599,392099.42055598646,0.3
605299.8503881197,379089.33173385356,0.1225
613179.7566626657,378089.61256506946,1.0
238392.52593451226,429594.9385387758,1.0
798506.2182915504,358536.24634461943,1.6724999999999999
602363.4958153577,387454.0591940684,3.0
211699.07582500362,441056.5239668684,1.0
215666.88947231096,440579.65287133586,2.0
437165.49202825536,412445.044482979,1.0
787747.0634831276,367844.77993244026,1.0
204259.21895080333,446004.7474175617,1.0
374977.0519368312,428351.14221865963,0.195
252826.04499620612,447860.78885247,1.0
470275.48650161945,420231.4308977332,0.5775
525519.1287892669,413203.71130763926,1.0
403632.85511651856,432712.6789783258,0.5
372517.3110962066,440705.1980293263,1.0
813769.6123166718,384519.34267444443,1.0
282042.1797083982,456221.2411314333,0.5775
672762.9306014992,406460.6772901155,1.0
790721.9525697762,391420.47014918644,1.0
287500.9325387038,467594.5472812811,1.0
276165.18221867207,473074.9834685195,1.0
379007.28865565715,459955.90443023294,1.0
659549.2340334875,428171.4706291901,1.0
781446.1039867861,412579.0207690159,1.0
808932.9435239095,409106.09165609255,1.0
229613.49769793364,487093.36522335745,1.8675000000000002
383968.95205441385,467332.86265403125,1.0
688082.0227626545,432515.5374202123,1.0
243050.14877224644,497493.0628605224,1.0
314309.696963425,488340.5947295781,1.0
345942.7485405834,484304.9870577082,1.925
349905.53673417633,483793.79983573034,0.08
496075.53690002277,465064.9470963292,1.0
326689.28103949176,490785.00830807164,1.0
717666.0176321999,444710.80090975016,0.2
768748.3808668794,438189.4963246677,1.0
248517.5981623285,508855.49691295903,0.585
